variable,question,file
C1ADC_99_TEXT,What were you doing? (please check all that apply) - other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ADO,"Please DESCRIBE the general EXPERIENCE in terms of the MAIN thing you were doing during the AFTERNOON episode.



Example: I was doodling on my tablet and listening to a podcast.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ADM,"[optional] What OTHER THINGS were you doing or THINKING ABOUT?



Example: I was trying not to think about my upcoming exam.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATC,What technologies did you use? (please check all that apply) - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATC_99_TEXT,What technologies did you use? (please check all that apply) - other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ACO,"[Optional] -- How did the COMBINATION of multiple TECHNOLOGIES / apps contribute towards IMPROVING your EMOTIONAL STATE?



Example: Exploring a question using ChatGPT while mapping ideas on my digital whiteboard helped me to feel competent and creative.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALE1,"To what degree did you approach this activity with the following intention, whether or not you actually achieved your aim?



Seeking to pursue excellence or a personal ideal?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALE2,Seeking to use the best in yourself?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALE3,"Seeking to develop a skill, learn, or gain insight into something?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALE4,Seeking to do what you believe in?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALH1,Seeking enjoyment?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALH2,Seeking pleasure?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALH3,Seeking fun?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALH4,Seeking relaxation?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ALH5,Seeking to take it easy?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER1,"1/25
 

Bettering yourself
Committing to meaningful challenges or passions that accord with your deeply-held values. Rather than indulging yourself constantly, or serving others’ needs only","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER2,"2/25
Indulging
Allowing yourself to enjoy what you desire to do. Rather than resisting the urge to do so","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER3,"3/25
Being considerate and helping others
Sharing your resources and attention for the benefit of another person or group’s needs or preferences. Rather than acting solely for personal gain","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER4,"4/25
Engaging in a collective
Joining in, or contributing to the shared concerns of a group. Rather than feeling apart from a sense of communal purpose","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER5,"5/25
Practicing spirituality and religion
Engaging in structured or ritualistic thoughts and behaviors that anchor your view of life within a larger cosmology. Rather than having no practiced tradition through which to process your experiences","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER6,"6/25

 
Please choose any number of the remaining 20 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)

 
Creating a savoring atmosphere
Creating or rearranging the environment to physically, psychologically, and socially support the intended positive experience. Rather than sticking to the status quo","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER7,"7/25
Capturing
Actively collecting physical or mental mementos (e.g., photos and souvenirs) that will later prompt vivid recall, thereby making the future experience more positive. Rather than experiencing the positive experience in only one temporal orientation","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER8,"8/25
Delaying positive experiences or splitting them into smaller units
Temporarily withdrawing from a positive experience, or subdividing a pleasant experience into smaller units to prolong anticipation and enjoyment. Rather than sacrificing prolonged pleasure for instant gratification","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER9,"9/25

 
Blocking negative thoughts



Preventing the retrieval of negative thoughts and memories that may hinder positive experiences, or reconfiguring them to create a more positive view. Rather than letting them lurk unaddressed around your daily life","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER10,"10/25

 
Habitualizing positive practices



Enhancing your life by practicing positive actions regularly as part of your lifestyle. Rather than occasionally performing them","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER11,"11/25

 
Please choose any number of the remaining 15 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)



Being immersed and absorbed

Becoming fully engaged in a positive experience or its aspects, existing only in the present. Rather than allowing other concerns to hinder your enjoyment","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER12,"12/25

 
Anticipating



Vividly anticipating likely positive experiences that will occur in the future. Rather than focusing only on the past or present","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER13,"13/25

 
Reminiscing



Recalling and reliving past positive experiences for emotional or sentimental reasons. Rather than focusing only on the present or future","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER14,"14/25

 
Moral elevating



Being moved by witnessing someone perform an act of virtue such as being brave, honest, kind, or perseverant; feeling inspired to act this way yourself. Rather than considering virtuous behaviors as mundane","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER15,"15/25

 
Fantasizing 
Imagining positive experiences of varying likelihood. Rather than restricting your imagination to likely possibilities","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER16,"16/25


Please choose any number of the remaining 10 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)

 
Being aware of temporal scarcity

Realizing that your current experience or resources will not last forever, and that you should enjoy them while they are available. Rather than rushing through them as though they were available anytime","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER17,"17/25

 
Infusing the ordinary with special meaning 
Enriching day-to-day experiences with language, thoughts, and actions that promote positive associations. Rather than seeing experiences only in a functional way","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER18,"18/25

 
Self-congratulating 
Giving yourself credit for the causes of positive experiences; seeing your experiences with a positive view of your strengths, achievements, and self-worth. Rather than overlooking opportunities to honor yourself","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER19,"19/25

 
Expressing or acknowledging gratitude 
Considering how others have benefited from your actions, or how you have benefited from others’ actions. Rather than letting contributions pass by without noticing their positive impact","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER20,"20/25

 
Relative comparing 
Embracing your own experiences in comparison with what others seem to be experiencing, or with what you imagined an event would be like. Rather than absorbing your joys and letdowns without a reference point","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER21,"21/25


Please choose any number of the remaining 5 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)

 
Sharing the positive experience with others

Creating a ripple effect between you and others in response to positive experiences; telling others how much you value the moment, or recounting stories about past joys, or good fortune. Rather than experiencing life’s joys in solitude","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER22,"22/25

 
Purposeful dampening

Intentionally down-regulating your positive emotions to help maintain perceived control. Rather than letting emotions arise regardless of the circumstance","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER23,"23/25

 
Enriching the sensory environment

Encountering or cultivating pleasant sensory stimulation. Rather than continually experiencing the same level of stimulation","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER24,"24/25

 
Altering bodily engagement

Reviving or relaxing your body with dynamic movement or rest. Rather than giving energy only to your thoughts","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APER25,"25/25

 
Neurochemically heightening emotions

Using food, drink, behaviors, or mind-altering substances to enhance your emotional state. Rather than relying solely on your intention to feel better","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS01,Enthusiastic,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS02,Interested,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS03,Determined,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS04,Excited,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS05,Inspired,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS06,Alert,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS07,Active,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS08,Strong,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS09,Proud,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1APAS10,Attentive,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.S1,"When I do this activity with these technologies, it makes me feel close to people who are important to me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.S2,"When I do this activity with these technologies, it makes me feel connected to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.S3,"When I do this activity with these technologies, it makes me feel that people care about me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.F1,"When I do this activity with these technologies, it makes me feel excluded or isolated","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.F2,"When I do this activity with these technologies, it makes me feel lonely","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ATENS.F3,"When I do this activity with these technologies, it makes me feel like I don’t matter to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ACSAT,"Overall, HOW SATISFIED were you with the technologies’ ability to SUPPORT YOUR HAPPINESS through this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ASOC1,"Were you interacting with any human beings (i.e., in person, online) during this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ASOC2,"Was the social interaction in real-time (e.g., video chat), or was it asynchronous (e.g., social media comments)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ1,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ1_99_TEXT,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ2,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - Selected Choice","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_1_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - TIME it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_2_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - ENERGY it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_3_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - MONEY it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_4_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - INTEREST level I have in the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_5_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - PERSONAL VALUES I have towards the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFREQ3_99_TEXT,"WHAT FACTORS INFORMED your DESIRED FREQUENCY of engaging in this activity using these technologies? (select all that apply)



Note: Writing in the text box is optional. - Other (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AINDO,Were you indoors or outdoors during the activity?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ANEC,"HOW NECESSARY were the TECHNOLOGIES to engage in the main part THIS ACTIVITY (i.e., you would NOT have done the activity without them)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ABODY,I MOVED MY BODY A LOT during this ACTIVITY.,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ACONV,"Overall, HOW CONVENIENT was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AEFF,"Overall, HOW EASY was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1AFEEL,"[optional] In what ways did the technologies ENHANCE how you felt?



Example: “The fountain's water sound was soothing”, or, “the heater made me feel cozy”.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
